support,itemsets,length
0.17,frozenset({'Bananas'}),1
0.16233333333333333,frozenset({'Butter'}),1
0.161,frozenset({'Salt'}),1
0.15933333333333333,frozenset({'Apples'}),1
0.159,frozenset({'Cheese'}),1
0.15666666666666668,frozenset({'Oranges'}),1
0.15433333333333332,frozenset({'Tea'}),1
0.154,frozenset({'Chicken'}),1
0.154,frozenset({'Sugar'}),1
0.15266666666666667,frozenset({'Coffee'}),1
0.15266666666666667,frozenset({'Cookies'}),1
0.15233333333333332,frozenset({'Pasta'}),1
0.152,frozenset({'Eggs'}),1
0.15033333333333335,frozenset({'Cereal'}),1
0.14766666666666667,frozenset({'Onions'}),1
0.147,frozenset({'Bread'}),1
0.14666666666666667,frozenset({'Tomatoes'}),1
0.14666666666666667,frozenset({'Beef'}),1
0.146,frozenset({'Juice'}),1
0.14533333333333334,frozenset({'Toilet Paper'}),1
0.145,frozenset({'Detergent'}),1
0.145,frozenset({'Yogurt'}),1
0.14433333333333334,frozenset({'Soda'}),1
0.144,frozenset({'Fish'}),1
0.14366666666666666,frozenset({'Chips'}),1
0.142,frozenset({'Soap'}),1
0.14133333333333334,frozenset({'Milk'}),1
0.14133333333333334,frozenset({'Rice'}),1
0.13933333333333334,frozenset({'Shampoo'}),1
0.13666666666666666,frozenset({'Chocolate'}),1
